id	track_name	artist	album	decade
348	I Need You Now - 2001 Remastered	Eddie Fisher	Greatest Hits	1950
349	Mr. Sandman	The Chordettes	The Chordettes	1950
350	Let Me Go Lover (with Jimmy Carroll & His Orchestra)	Various Artists	16 Most Requested Songs Of The 1950s. Volume One	1950
351	Hearts of Stone	The Fontaine Sisters	Happy Days and Lonely Nights	1950
352	Sincerely	The McGuire Sisters	The McGuire Sisters Greatest Hits	1950
353	The Ballad of Davy Crockett	Bill Hayes	The Ballad of Davy Crockett	1950
354	Cherry Pink And Apple Blossom White	Pérez Prado	Mambo No 5	1950
355	(We're Gonna) Rock Around The Clock	Bill Haley & His Comets	Rock Around The Clock	1950
356	The Yellow Rose of Texas - Single Version	Mitch Miller	Greatest Hits	1950
357	Love Is A Many-Splendored Thing	The Four Aces	The Four Aces' Greatest Hits	1950
358	Autumn Leaves	Roger Williams	The Best of Roger Williams, Vol. 1	1950
359	Sixteen Tons	Tennessee Ernie Ford	Vintage Collections	1950
360	Memories Are Made Of This	Dean Martin	Hey, Brother Pour The Wine	1950
361	Rock And Roll Waltz	Kay Starr	Good Music Book	1950
362	Lisbon Antigua - Remastered	Various Artists	Ultra-Lounge: Bottoms Up!	1950
363	The Poor People Of Paris (Jean's Song) - Single Version	Les Baxter	Baxter's Best	1950
364	Heartbreak Hotel	Elvis Presley	Elvis' Golden Records	1950
365	The Wayward Wind	Gogi Grant	Gogi Grant	1950
366	I Want You, I Need You, I Love You	Elvis Presley	Elvis' Golden Records	1950
367	My Prayer	The Platters	The Platters	1950
368	Don't Be Cruel	Elvis Presley	Elvis' Golden Records	1950
369	Hound Dog	Elvis Presley	Elvis' Golden Records	1950
370	Love Me Tender - From the 20th Century-Fox CinemaScope Production, "Love Me Tender"	Elvis Presley	Elvis' Golden Records	1950
371	Singing The Blues - Guy Mitchell	Compilation Les Années 50 : la légende américaine	Les Années 50 : la légende américaine	1950
372	Too Much	Elvis Presley	Elvis' Golden Records	1950
373	Young Love	Tab Hunter	Young Love	1950
374	Party Doll	Buddy Knox	Buddy Knox	1950
375	Round And Round - Remastered - 1992	Perry Como	Today & Yesterday	1950
376	All Shook Up	Elvis Presley	Elvis' Golden Records	1950
377	Love Letters In The Sand - Single Version	Pat Boone	Pat Boone's Greatest Hits (Reissue)	1950
378	(Let Me Be Your) Teddy Bear	Elvis Presley	Elvis' Golden Records	1950
379	Tammy	Debbie Reynolds	Love Is A Simple Thing	1950
380	Diana	Paul Anka	Put Your Head On My Shoulder: The Very Best Of Paul Anka	1950
381	Baby My Heart	The Crickets	That'll Be the Day	1950
382	Honeycomb	Various Artists	Rock'n Roll Is Back	1950
383	Wake up Little Susie	The Everly Brothers	The Very Best of The Everly Brothers	1950
384	Jailhouse Rock	Elvis Presley	Elvis' Golden Records	1950
385	You Send Me	Sam Cooke	30 Greatest Hits: Portrait of a Legend 1951-1964	1950
386	April Love	Pat Boone	Pat Boone's Greatest Hits (Reissue)	1950
387	At The Hop	Danny & The Juniors	Rockin' With Danny And The Juniors (Expanded Edition)	1950
388	Don't	Elvis Presley	Elvis 30 #1 Hits	1950
389	Tequila	The Champs	Greatest Hits / Tequila	1950
390	Twilight Time - Single Version	The Platters	The Flying Platters Around The World	1950
391	Witch Doctor	Halloween All-Stars	Ultimate Kids Halloween Party Album	1950
392	All I Have to Do Is Dream	The Everly Brothers	The Very Best of The Everly Brothers	1950
393	The Purple People Eater	Sheb Wooley	The Purple People Eater	1950
394	Hard Headed Woman	Elvis Presley	King Creole	1950
395	Poor Little Fool - Remastered	Ricky Nelson	Ricky Nelson (Expanded Edition / Remastered)	1950
396	Nel blu dipinto di blu' (Volare)	Various Artists	Italian Hits	1950
397	Little Star	The Elegants	Greatest Doo Wop Masters	1950
398	It's All In The Game	Tommy Edwards	It’s All In The Game: The Best Of Tommy Edwards	1950
399	It's Only Make Believe	Conway Twitty	Conway Twitty Sings	1950
400	Tom Dooley	The Kingston Trio	The Kingston Trio	1950
401	Theme from a Summer Place	Percy Faith	A Summer Place	1960
402	He'll Have to Go	Jim Reeves	The Essential Jim Reeves	1960
403	Cathy's Clown	The Everly Brothers	The Golden Hits Of The Everly Brothers	1960
404	Running Bear	Johnny Preston	Running Bear	1960
405	Teen Angel	Mark Dinning	Teen Angel	1960
406	I'm Sorry	Brenda Lee	Greatest Hits	1960
407	It's Now or Never	Elvis Presley	Elvis Forever: The Best of Elvis Presley	1960
408	Handy Man	Jimmy Jones	Handy Man	1960
409	Stuck on You	Elvis Presley	The 50 Greatest Hits	1960
410	The Twist	Chubby Checker	Cameo Parkway - The Best Of Chubby Checker (Original Hit Recordings) [International Version]	1960
411	Everybody's Somebody's Fool	Connie Francis	Rock N' Roll Legends (International Version)	1960
412	Wild One	Bobby Rydell	Wild One	1960
413	Greenfields	The Brothers Four	The Brothers Four (Originl Album)	1960
414	What In The World’s Come Over You	Jack Scott	What In The World’s Come Over You - 4 Track EP	1960
415	El Paso	Marty Robbins	The Story Of My Life: The Best Of Marty Robbins 1952-1965	1960
416	Alley Oop	The Hollywood Argyles	Alley Oop - The Very Best Of	1960
417	My Heart Has A Mind Of Its Own	Connie Francis	The Collection	1960
418	Sweet Nothin's	Brenda Lee	Classic Brenda Lee - The Universal Masters Collection	1960
419	Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini	Brian Hyland	Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini	1960
420	Only the Lonely	Roy Orbison	Sings Lonely and Blue	1960
421	Where Or When	Dion & The Belmonts	The Best Of Dion & The Belmonts	1960
422	Sixteen Reasons	Connie Stevens	Sixteen Reasons	1960
423	Puppy Love - Remix	Paul Anka	Put Your Head On My Shoulder: The Very Best Of Paul Anka	1960
424	Why	Frankie Avalon	Beach Party	1960
425	Walk, Don't Run	The Ventures	The Very Best Of The Ventures	1960
426	Save the Last Dance for Me	The Drifters	Save the Last Dance for Me	1960
427	Baby, You Got What It Takes	Various Artists	The Cruisin Story 1960	1960
428	Sink the Bismark	Johnny Horton	American Originals	1960
429	Chain Gang	Sam Cooke	Swing Low	1960
430	Let It Be Me	The Everly Brothers	Greatest and Original Hits	1960
431	Good Timin	Jimmy Jones	Classic and Collectable - Jimmy Jones - Good Timin'	1960
432	Beyond the Sea	Bobby Darin	That's All	1960
433	Go, Jimmy, Go	Jimmy Clanton	Go, Jimmy, Go	1960
434	Night	Jackie Wilson	A Woman, A Lover, A Friend	1960
435	Burning Bridges	Jack Scott	Burning Bridges	1960
436	The Big Hurt	Toni Fisher	The Big Hurt!	1960
437	Because They’re Young	Duane Eddy	Twangy Guitar	1960
438	Lonely Blue Boy	Conway Twitty	Here's Conway	1960
439	Pretty Blue Eyes	Steve Lawrence	Greatest Hits: Steve Lawrence	1960
440	Way Down Yonder In New Orleans	Freddy Cannon	The A-Z Collection: Freddy Cannon	1960
441	Paper Roses	Anita Bryant	Hear Anita Bryant in Your Home Tonight	1960
442	Mr. Custer	Larry Verne	Mister Larry Verne	1960
443	I Want to Be Wanted	Brenda Lee	Ultimate Collection, Vol. 1	1960
444	Mule Skinner Blues	The Fendermen	Mule Skinner Blues	1960
445	Cradle Of Love	Johnny Preston	Above The Clouds	1960
446	You've Got What It Takes	Marv Johnson	Marvelous Marv Johnson	1960
447	Please Help Me, I'm Falling	Hank Locklin	RCA Country Legends	1960
448	Love You So	Ron Holden	Love You So..	1960
449	Finger Poppin' Time	Hank Ballard & The Midnighters	All 20 Of Their Chart Hits 1953-1962	1960
450	Harbor Lights	The Platters	The Best Of The Platters	1960
451	Let the Little Girl Dance	Billy Bland	The Original Hit Recording - Let the Little Girl Dance	1960
452	He'll Have to Stay	Jeanne Black	A Little Bit Lonely	1960
453	Theme From "The Apartment"	Ferrante & Teicher	All-Time Great Movie Themes	1960
454	Volare	Bobby Rydell	Home in Your Arms	1960
455	A Million to One	Jimmy Charles	A Million to One	1960
456	The Village of St. Bernadette	Andy Williams	Happy Heart: The Best Of Andy Williams	1960
457	The Old Lamplighter	The Browns	The Complete Pop & Country Hits	1960
458	White Silver Sands	Bill Blacks Combo	White Silver Sands	1960
459	Devil Or Angel	Bobby Vee	Essential	1960
460	Down By the Station	The Four Preps	Down By the Station	1960
461	Forever	Various Artists	Music Enchanted Me	1960
462	Image Of A Girl	Various Artists	Teen Idols Of The Past	1960
463	Kiddio	Brook Benton	Brook Benton - The Best of Brook Benton	1960
464	Mission Bell	Donnie Brooks	Mission Bell	1960
465	I Love the Way You Love	Marv Johnson	Marv Johnson 25 Original Tracks (Remastered)	1960
466	It's Time To Cry	Paul Anka et son orchestre	Diana	1960
467	Tell Laura I Love Her	Ray Peterson	Goodnight My Love	1960
468	Mama	Connie Francis	Sings Italian Favorites	1960
469	Footsteps	Steve Lawrence	Footsteps	1960
470	So Sad (To Watch Good Love Go Bad) - Remastered Version	The Everly Brothers	It's Everly Time	1960
471	That's All You Gotta Do	Brenda Lee	Ultimate Collection, Vol. 1	1960
472	Walking To New Orleans - Remastered	Fats Domino	Greatest Hits: Walking To New Orleans	1960
473	Among My Souvenirs	Connie Francis	The Collection	1960
474	Swingin' School	Bobby Rydell	Greatest Hits	1960
475	A Rockin' Good Way (To Mess Around And Fall In Love)	Dinah Washington	The Two Of Us	1960
476	Stairway to Heaven - Remastered	Neil Sedaka	The Very Best Of Neil Sedaka	1960
477	My Home Town	Paul Anka	His Big 15 Plus 2	1960
478	Georgia On My Mind	Ray Charles	Georgia On My Mind	1960
479	Cherry Pie	Skip & Flip	The Best of Skip & Flip	1960
480	(What A) Wonderful World - Remastered	Sam Cooke	The Wonderful World Of Sam Cooke (Remastered)	1960
481	Lady Luck	Lloyd Price	Mr Personality	1960
482	Step By Step	The Crests	Greatest Hits	1960
483	Happy Go Lucky Me	Paul Evans	Hear Paul Evans in Your Home Tonight	1960
484	Young Emotions - Remastered	Ricky Nelson	More Songs By Ricky / Rick Is 21	1960
485	Dreamin'	Johnny Burnette	25 Greatest Hits	1960
486	Poetry In Motion	Johnny Tillotson	25 All-Time Greatest Hits	1960
487	O Dio Mio	Annette	Italiannette: Rarity Music Pop, Vol. 245	1960
488	You Talk Too Much	Joe Jones	You Talk Too Much - The Best Of	1960
489	Beatnik Fly	Johnny & The Hurricanes	Greatest Hits	1960
490	When Will I Be Loved	The Everly Brothers	Greatest and Original Hits	1960
491	Let's Think About Living	Bob Luman	Livin' Lovin' Sounds	1960
492	Heartaches By The Number	Guy Mitchell	Heartaches By The Number	1960
493	In My Little Corner Of The World	Anita Bryant	The Very Best Of	1960
494	Doggin' Around	Jackie Wilson	Jackie Sings The Blues	1960
495	Little Bitty Girl	Bobby Rydell	Greatest Hits	1960
496	Money (That's What I Want) - Single Version / Mono	Barrett Strong	The Collection	1960
497	Stay	Maurice Williams & The Zodiacs	Stay (Just A Little Bit Longer)	1960
498	Lonely Weekends	Charlie Rich	The Very Best of Charlie Rich - Lonely Weekends	1960
499	Sandy	Various Artists	Totally Cool '60s: Lost Hits & Misses	1960
500	Bridge Over Troubled Water	Simon & Garfunkel	Bridge Over Troubled Water	1970
501	(They Long To Be) Close To You	Carpenters	Close To You	1970
502	American Woman	The Guess Who	American Woman	1970
503	Raindrops Keep Fallin' On My Head	B.J. Thomas	Raindrops Keep Fallin' On My Head	1970
504	War	Edwin Starr	War And Peace	1970
505	Ain't No Mountain High Enough	Diana Ross	Diamond Diana: The Legacy Collection	1970
506	I'll Be There	The Jackson 5	Third Album	1970
507	Get Ready	Rare Earth	Get Ready	1970
508	Let It Be - Remastered 2015	The Beatles	1 (Remastered)	1970
509	Band Of Gold - Re-Record	Freda Payne	Band Of Gold (Remix)	1970
510	Joy To The World - Single Version	Three Dog Night	Three Dog Night - The Complete Hit Singles	1970
511	Maggie May - Remastered Version	Rod Stewart	The Definitive Rod Stewart	1970
512	Reason To Believe	Rod Stewart	The Definitive Collection - 1969-1978	1970
513	It's Too Late	Carole King	Tapestry	1970
514	I Feel the Earth Move	Carole King	Tapestry	1970
515	One Bad Apple	The Osmonds	Osmonds	1970
516	How Can You Mend A Broken Heart	Bee Gees	Trafalgar	1970
517	Indian Reservation (The Lament of the Cherokee Reservation Indian)	Paul Revere & The Raiders	Indian Reservation	1970
518	Go Away Little Girl	Donny Osmond	To You With Love, Donny	1970
519	Take Me Home, Country Roads	John Denver	Poems, Prayers and Promises	1970
520	Just My Imagination (Running Away With Me)	The Temptations	Sky's The Limit	1970
521	Knock Three Times	Tony Orlando & Dawn	Candida	1970
522	The First Time Ever I Saw Your Face	Roberta Flack	First Take	1970
523	Alone Again (Naturally)	Gilbert O'Sullivan	Back to Front	1970
524	American Pie	Don McLean	American Pie	1970
525	Without You	Harry Nilsson	Nilsson Schmilsson	1970
526	The Candy Man	Sammy Davis Jr.	That Old Black Magic	1970
527	I GOTCHA	Joe Tex	The Very Best of, Volume 2.	1970
528	Lean on Me	Bill Withers	Still Bill	1970
529	Baby Don't Get Hooked on Me	Mac Davis	Baby Don't Get Hooked On Me	1970
530	Brand New Key	Melanie	Beautiful People: The Greatest Hits of Melanie	1970
531	Daddy Don't You Walk So Fast	Wayne Newton	The Best Of Wayne Newton	1970
532	Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998	Tony Orlando & Dawn	Tuneweaving	1970
533	Bad, Bad Leroy Brown	Jim Croce	Life & Times	1970
534	Killing Me Softly with His Song	Roberta Flack	Killing Me Softly	1970
535	Let's Get It On	Marvin Gaye	Let's Get It On	1970
536	My Love - 2018 Remaster	Wings	Red Rose Speedway	1970
537	Why Me	Kris Kristofferson	Jesus Was a Capricorn	1970
538	Crocodile Rock	Elton John	Don't Shoot Me I'm Only The Piano Player	1970
539	Will It Go Round In Circles	Billy Preston	Ultimate Collection: Billy Preston	1970
540	You're so Vain	Carly Simon	No Secrets	1970
541	Touch Me In The Morning	Diana Ross	Touch Me In The Morning	1970
542	The Way We Were	Barbra Streisand	The Way We Were	1970
543	Seasons in the Sun	Various Artists	Radio Hits Of the '70s	1970
544	Love's Theme	The Love Unlimited Orchestra	Rhapsody In White (Reissue)	1970
545	Come and Get Your Love - Single Version	Redbone	Come and Get Your Love	1970
546	Dancing Machine	The Jackson 5	Dancing Machine	1970
547	The Loco-Motion	Grand Funk Railroad	Greatest Hits: Grand Funk Railroad (Remastered)	1970
548	TSOP (The Sound of Philadelphia) (feat. The Three Degrees)	MFSB	End of Phase I - A Collection of Greatest Hits	1970
549	The Streak	Ray Stevens	Greatest Hits - Original Recordings	1970
550	Bennie And The Jets - Remastered 2014	Elton John	Goodbye Yellow Brick Road (Remastered)	1970
551	One Hell Of A Woman	Mac Davis	Stop And Smell The Roses	1970
552	Love Will Keep Us Together	Captain & Tennille	Love Will Keep Us Together	1970
553	Rhinestone Cowboy	Glen Campbell	Rhinestone Cowboy (Expanded Edition)	1970
554	Philadelphia Freedom	Elton John	Captain Fantastic And The Brown Dirt Cowboy	1970
555	Before The Next Teardrop Falls	Freddy Fender	Before The Next Teardrop Falls	1970
556	My Eyes Adored You	Frankie Valli	Closeup	1970
557	Shining Star	Earth, Wind & Fire	That's The Way Of The World	1970
558	Fame - 2016 Remaster	David Bowie	Young Americans (2016 Remaster)	1970
559	Laughter In The Rain	Neil Sedaka	The Definitive Collection	1970
560	One of These Nights - 2013 Remaster	Eagles	One of These Nights (2013 Remaster)	1970
561	Thank God I'm a Country Boy	John Denver	Back Home Again	1970
562	Silly Love Songs - Remastered 2014	Wings	Wings At The Speed Of Sound (Archive Collection)	1970
563	Don't Go Breaking My Heart	Elton John	To Be Continued...	1970
564	Disco Lady	Johnnie Taylor	Eargasm	1970
565	December, 1963 (Oh What a Night!)	Frankie Valli & The Four Seasons	Who Loves You	1970
566	Play That Funky Music	Wild Cherry	Wild Cherry	1970
567	Kiss and Say Goodbye	The Manhattans	The Manhattans (Expanded Version)	1970
568	Love Machine	The Miracles	City Of Angels	1970
569	50 Ways to Leave Your Lover	Paul Simon	Still Crazy After All These Years	1970
570	Love Is Alive	Gary Wright	The Dream Weaver	1970
571	A Fifth Of Beethoven	Various Artists	Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition)	1970
572	Tonight's the Night (Gonna Be Alright) - 2009 Remaster	Rod Stewart	A Night on the Town (Deluxe Edition)	1970
573	I Just Want To Be Your Everything	Andy Gibb	Flowing Rivers	1970
574	Best of My Love	The Emotions	Rejoice	1970
575	Evergreen (Love Theme from, "A Star Is Born")	Barbra Streisand	A Star Is Born	1970
576	Angel in Your Arms - Single Version	Various Artists	Hit Singles 1958-1977	1970
577	I Like Dreamin'	Kenny Nolan	All-Time Greatest Performances	1970
578	Don't Leave Me This Way	Thelma Houston	The Best Of	1970
579	(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge	Anytime... Anywhere	1970
580	Undercover Angel	Various Artists	Yacht Rock	1970
581	Torn Between Two Lovers	Mary MacGregor	Just Mary	1970
582	Shadow Dancing	Andy Gibb	Shadow Dancing	1970
583	Night Fever - From "Saturday Night Fever" Soundtrack	Bee Gees	Greatest	1970
584	You Light Up My Life	Debby Boone	You Light Up My Life	1970
585	Stayin Alive	Bee Gees	The Ultimate Bee Gees	1970
586	Kiss You All Over	Exile	Greatest Hits	1970
587	How Deep Is Your Love	Bee Gees	Greatest	1970
588	Baby Come Back	Groove Armada	Late Night Tales: Music For Pleasure	1970
589	(Love Is) Thicker Than Water	Andy Gibb	Flowing Rivers	1970
590	Boogie Oogie Oogie - Single Version 2 / Remastered 1999	A Taste Of Honey	A Taste Of Honey	1970
591	Three Times A Lady	Commodores	All The Great Love Songs	1970
592	My Sharona	The Knack	Get The Knack	1970
593	Bad Girls	Donna Summer	Bad Girls	1970
594	Le Freak - 2018 Remaster	CHIC	The Chic Organization 1977-1979 (2018 Remaster)	1970
595	Do Ya Think I'm Sexy	Rod Stewart	Do Ya Think I'm Sexy? / Scarred and Scared	1970
596	Reunited	Peaches & Herb	2 Hot!	1970
597	I Will Survive - Single Version	Gloria Gaynor	20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor	1970
598	Hot Stuff	Donna Summer	Bad Girls	1970
599	Y.M.C.A.	Village People	Cruisin'	1970
600	Physical (Glee Cast Version) (feat. Olivia Newton-John)	Glee Cast	Glee: The Music, Volume 3 Showstoppers	1980
601	Hopelessly Devoted To You	Olivia Newton-John	20th Century Masters: The Millennium Collection: Best Of Olivia Newton-John	1980
602	Magic	Various Artists	Xanadu	1980
603	Heart Attack	Olivia Newton-John	20th Century Masters: The Millennium Collection: Best Of Olivia Newton-John	1980
604	Bette Davis Eyes	Kim Carnes	Mistaken Identity	1980
605	Endless Love	Various Artists	Endless Love (Soundtrack)	1980
606	Eye of the Tiger	Survivor	Eye Of The Tiger	1980
607	Every Breath You Take	The Police	Synchronicity (Remastered 2003)	1980
608	What A Feeling	Irene Cara	What A Feeling	1980
609	Another One Bites The Dust - Remastered 2011	Queen	The Game (Deluxe Remastered Version)	1980
610	Say Say Say - Remastered 2015	Paul McCartney	Pipes Of Peace	1980
611	Call Me (Theme From American Gigolo) - Remastered 2001	Blondie	Autoamerican	1980
612	Lady	Kenny Rogers	Very Best Of Kenny Rogers	1980
613	Centerfold	The J. Geils Band	Best Of The J. Geils Band	1980
614	(Just Like) Starting Over - Remastered 2010	John Lennon	Gimme Some Truth	1980
615	I Love Rock 'N Roll	Joan Jett & The Blackhearts	I Love Rock 'N' Roll (Expanded Edition)	1980
616	Ebony And Ivory	Paul McCartney	All The Best	1980
617	That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)	Dionne Warwick	Greatest Hits 1979-1990	1980
618	Upside Down	Diana Ross	Diana	1980
619	Billie Jean	Michael Jackson	Thriller 25 Super Deluxe Edition	1980
620	Abracadabra	Steve Miller Band	Abracadabra	1980
621	Say You, Say Me	Lionel Richie	Dancing On The Ceiling	1980
622	All Night Long (All Night) - Single Version	Lionel Richie	The Definitive Collection	1980
623	Waiting for a Girl Like You	Various Artists	Yacht Rock	1980
624	Hurts So Good	John Mellencamp	American Fool	1980
625	Another Day in Paradise - 2016 Remaster	Phil Collins	...But Seriously (Deluxe Edition)	1980
626	Do That To Me One More Time	Captain & Tennille	Make Your Move	1980
627	Like a Virgin	Madonna	Like a Virgin (Reissue)	1980
628	When Doves Cry	Prince	Purple Rain	1980
629	Maneater	Daryl Hall & John Oates	H2O	1980
630	Another Brick in the Wall, Pt. 2	Pink Floyd	The Wall	1980
631	Faith - Remastered	George Michael	Faith	1980
632	Crazy Little Thing Called Love	Queen	The Game	1980
633	Total Eclipse of the Heart	Bonnie Tyler	Faster Than The Speed Of Night	1980
634	Careless Whisper	Wham!	The Final	1980
635	Walk Like an Egyptian	The Bangles	The Essential Bangles	1980
636	Don't You Want Me	The Human League	Dare!	1980
637	Jessie's Girl	Rick Springfield	Working Class Dog	1980
638	Woman in Love	Barbra Streisand	Guilty	1980
639	Hard to Say I'm Sorry / Get Away - 2006 Remaster	Chicago	Chicago 16 (Expanded & Remastered)	1980
640	Miss You Much	Janet Jackson	Rhythm Nation 1814	1980
641	Down Under	Men At Work	Business As Usual	1980
642	We Are the World	Various Artists	We Are the World	1980
643	Jack & Diane	John Mellencamp	American Fool	1980
644	Jump	Van Halen	Best of Volume 1	1980
645	Islands In the Stream	Dolly Parton	Ultimate Dolly Parton	1980
646	Coming Up - Remastered 2011	Paul McCartney	McCartney II (Special Edition)	1980
647	Arthur's Theme (Best That You Can Do)	Various Artists	Arthur - The Album [Original Soundtrack]	1980
648	Broken Wings	Mr. Mister	Welcome To The Real World	1980
649	Alone	Heart	Bad Animals	1980
650	Can't Fight This Feeling	REO Speedwagon	Wheels Are Turnin'	1980
651	Every Rose Has Its Thorn	Various Artists	Classic Rock	1980
652	I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston	Whitney	1980
653	I Can't Go for That (No Can Do)	Daryl Hall & John Oates	Private Eyes (Expanded Edition)	1980
654	Livin' On A Prayer	Bon Jovi	Slippery When Wet	1980
655	Money for Nothing	Dire Straits	Brothers in Arms	1980
656	On My Own	Patti LaBelle	Winner In You	1980
657	Beat It	Michael Jackson	Thriller 25 Super Deluxe Edition	1980
658	Crazy for You	Madonna	Celebration (double disc version)	1980
659	What's Love Got to Do with It	Tina Turner	What's Love Got to Do with It?	1980
660	Rock with You - Single Version	Michael Jackson	Off the Wall	1980
661	Separate Lives (Love Theme from White Nights)	Various Artists	White Nights [Original Motion Picture Soundtrack]	1980
662	I Want to Know What Love Is - 1999 Remaster	Foreigner	Agent Provocateur	1980
663	It's Still Rock and Roll to Me	Billy Joel	Glass Houses	1980
664	Look Away	Chicago	Love Songs	1980
665	Footloose	Kenny Loggins	Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins	1980
666	Against All Odds (Take a Look at Me Now) - 2016 Remaster	Phil Collins	The Singles (Expanded)	1980
667	Roll With It	Steve Winwood	Roll With It	1980
668	Straight Up	Paula Abdul	Forever Your Girl	1980
669	Everybody Wants To Rule The World	Tears For Fears	Songs From The Big Chair (Super Deluxe Edition)	1980
670	We Didn't Start the Fire	Billy Joel	Storm Front	1980
671	Nothing's Gonna Stop Us Now	Starship	No Protection	1980
672	With Or Without You - Remastered	U2	The Joshua Tree (Super Deluxe)	1980
673	The Power Of Love	Huey Lewis & The News	Greatest Hits: Huey Lewis And The News	1980
674	Greatest Love of All	Whitney Houston	Whitney Houston	1980
675	I Just Called To Say I Love You	Stevie Wonder	At The Close Of A Century	1980
676	La Bamba	Los Lobos	Just Another Band From East L.A.: A Collection	1980
677	Funkytown	Various Artists	Casablanca Records Greatest Hits	1980
678	Magic	Various Artists	Xanadu	1980
679	One More Try - Remastered	George Michael	Faith	1980
680	Ghostbusters	Ray Parker Jr.	Arista Heritage Series: Ray Parker	1980
681	Gloria	Laura Branigan	Self Control	1980
682	Hello	Lionel Richie	Can't Slow Down	1980
683	Shout	Tears For Fears	Songs From The Big Chair	1980
684	Right Here Waiting	Richard Marx	Repeat Offender	1980
685	Woman - Remastered 2010	John Lennon	Double Fantasy Stripped Down	1980
686	Owner Of A Lonely Heart	Yes	Highlights: The Very Best Of Yes	1980
687	Please Don't Go - Single Version	KC & The Sunshine Band	Do You Wanna Go Party	1980
688	Lost in Your Eyes	Debbie Gibson	Electric Youth	1980
689	Need You Tonight	INXS	Kick	1980
690	Harden My Heart	Quarterflash	Harden My Heart: The Best Of Quarterflash	1980
691	Shake You Down	Gregory Abbott	Shake You Down (Expanded Edition)	1980
692	We Built This City	Starship	Knee Deep In The Hoopla	1980
693	Stuck With You	Huey Lewis & The News	Fore!	1980
694	Party All the Time	Eddie Murphy	How Could It Be	1980
695	Never Gonna Give You Up	Rick Astley	Whenever You Need Somebody	1980
696	Sweet Child O' Mine	Guns N' Roses	Appetite For Destruction	1980
697	Everytime You Go Away	Various Artists	Love Songs	1980
698	Don't Know Much (with Aaron Neville)	Various Artists	Rhino Hi-Five: Valentine's Day Songs 2	1980
699	Got My Mind Set On You - Remastered 2004	George Harrison	Cloud Nine	1980
700	How Am I Supposed to Live Without You	Michael Bolton	The Essential Michael Bolton	1990
701	Opposites Attract	Paula Abdul	Forever Your Girl	1990
702	Escapade	Janet Jackson	Rhythm Nation 1814	1990
703	Black Velvet	Alannah Myles	Alannah Myles	1990
704	Love Will Lead You Back	Taylor Dayne	Arista Heritage Series: Taylor Dayne	1990
705	I'll Be Your Everything	Tommy Page	Paintings In My Mind	1990
706	Nothing Compares 2 U	Sinéad O'Connor	I Do Not Want What I Haven't Got	1990
707	Vogue	Madonna	Celebration (double disc version)	1990
708	Hold On	Wilson Phillips	Wilson Phillips	1990
709	It Must Have Been Love - From the Film "Pretty Woman"	Roxette	It Must Have Been Love	1990
710	Step by Step	New Kids On The Block	Step By Step	1990
711	She Ain't Worth It	Glenn Medeiros	Glenn Medeiros	1990
712	Vision of Love	Mariah Carey	#1 to Infinity	1990
713	If Wishes Came True	Sweet Sensation	Love Child	1990
714	Blaze Of Glory - From "Young Guns II" Soundtrack	Bon Jovi	Bon Jovi Greatest Hits	1990
715	Release Me	Wilson Phillips	Wilson Phillips	1990
716	(Can't Live Without Your) Love And Affection	Nelson	After The Rain	1990
717	Close To You	Maxi Priest	Best Of Maxi Priest	1990
718	Praying for Time	George Michael	Listen Without Prejudice Vol. 1	1990
719	I Don't Have the Heart	James Ingram	It's Real	1990
720	Black Cat	Janet Jackson	Rhythm Nation 1814	1990
721	Ice Ice Baby	Vanilla Ice	The Best Of Vanilla Ice	1990
722	Love Takes Time	Mariah Carey	#1 to Infinity	1990
723	I'm Your Baby Tonight	Whitney Houston	I'm Your Baby Tonight	1990
724	Because I Love You (The Postman Song)	Stevie B	Best Of Stevie B	1990
725	Justify My Love	Madonna	Celebration (double disc version)	1990
726	Love Will Never Do (Without You)	Janet Jackson	Rhythm Nation 1814	1990
727	The First Time	Surface	The First Time: The Best Of Surface	1990
728	Gonna Make You Sweat (Everybody Dance Now)	C & C Music Factory	Gonna Make You Sweat	1990
729	All The Man That I Need	Whitney Houston	I'm Your Baby Tonight	1990
730	Someday	Mariah Carey	Greatest Hits	1990
731	One More Try	Various Artists	Vows Of Love	1990
732	Coming Out of the Dark	Gloria Estefan	The Very Best Of Gloria Estefan (English Version)	1990
733	I've Been Thinking About You	Various Artists	Body By Jake: Modern Pop Workout (BPM 104-128)	1990
734	You're In Love	Wilson Phillips	Wilson Phillips	1990
735	Baby Baby	Amy Grant	Baby Baby	1990
736	Joyride	Roxette	Joyride (Deluxe Version)	1990
737	I Like The Way	Hi-Five	Greatest Hits	1990
738	I Don't Wanna Cry	Mariah Carey	#1 to Infinity	1990
739	More Than Words	Extreme	Extreme II - Pornograffitti	1990
740	Rush Rush	Paula Abdul	Spellbound	1990
741	Unbelievable	EMF	Schubert Dip	1990
